name,owners,price,score,positive,negative,recommendations,playtime,genres
Impact Winter,35000,0.0,0,173,254,244,197,"Adventure,Indie,Simulation"
Pirates Outlaws,35000,19.99,0,436,76,448,273,"Adventure,Casual,Indie,Strategy"
The Guild Gold Edition,150000,9.99,0,313,113,392,63,"Simulation,Strategy"
Just Deserts,10000,9.99,0,241,81,217,761,"Casual,Indie,Simulation,Strategy"
A Story About My Uncle,7500000,14.99,0,25589,2277,11568,242,"Adventure,Casual,Indie"
POOLS,0,8.81,0,0,0,507,0,Adventure
X-COM: Terror From the Deep,750000,4.99,0,626,59,560,6,Strategy
Shadow Warrior Classic Redux,350000,9.99,0,2637,279,2330,113,Action
Ascendant,35000,0.0,0,158,44,103,2272,"Action,Adventure,Indie,RPG"
Yusetsu,10000,15.29,0,139,4,153,0,"Casual,Indie,RPG,Simulation"
幻想曹操传 Fantasy of Caocao,10000,14.99,0,46,106,101,0,"Adventure,Casual,Indie,RPG,Strategy"
Firefighters 2014,75000,24.99,0,328,228,397,746,"Action,Simulation"
Creeper World 2: Anniversary Edition,35000,4.99,0,285,26,282,2315,"Indie,Simulation,Strategy"
Conan the mighty pig,75000,0.51,0,897,93,597,363,"Action,Adventure,Indie"
Victoria I Complete,150000,9.99,0,144,61,173,6,Strategy
Depanneur Nocturne,35000,4.99,0,182,5,169,0,"Adventure,Casual,Indie"
REMOTE LIFE,10000,17.09,0,195,19,192,0,"Action,Indie"
FORM,35000,14.99,0,856,81,914,11,"Adventure,Casual,Indie"
Tower 57,150000,2.39,0,423,235,416,131,"Action,Indie"
Valley,350000,14.99,0,5680,519,5821,173,"Action,Adventure,Indie"
STAR WARS™ Battlefront™ II,1500000,15.99,0,33941,5028,32587,610,"Action,Adventure"
Etrian Odyssey HD,35000,39.99,0,158,5,142,0,"Adventure,RPG"
SMASHING THE BATTLE,35000,11.99,0,431,145,543,65,"Action,Casual,Indie"
Gem Defender: Soyjak Survivors,75000,3.99,0,159,9,146,0,"Action,Casual,Indie,Strategy"
Super Sanctum TD,350000,4.99,0,1322,175,942,163,"Casual,Indie,Strategy"
Fox Hime,150000,1.99,0,3201,518,3453,161,"Adventure,Casual,Indie,RPG"
Polynomial 2 - Universe of the Music,35000,11.99,0,118,21,119,0,"Action,Indie,Simulation,Early Access"
Orcs Must Die!,1500000,9.99,0,6779,251,5406,240,"Action,Indie,Strategy"
ArcheAge,1500000,0.0,0,3698,3392,792,301,"Free to Play,Massively Multiplayer,RPG"
Kane and Lynch: Dead Men™,750000,0.0,0,1954,1122,2420,57,Action
Draugen,75000,19.99,0,1216,393,1463,171,"Adventure,Indie"
Steel Division: Normandy 44,350000,9.99,0,4291,1481,4394,837,"Action,Simulation,Strategy"
Field of Glory II,35000,29.99,0,598,76,569,1998,"Simulation,Strategy"
King Kaiju,10000,4.99,0,116,35,135,0,"Indie,Simulation"
The Sinking City,75000,39.99,0,900,369,1176,980,"Action,Adventure,RPG"
Distant Worlds: Universe,150000,29.99,0,1295,400,1294,4417,"Simulation,Strategy"
Undertale,3500000,9.99,0,175161,6074,159556,395,"Indie,RPG"
Fields of Mistria,350000,13.99,0,6810,119,6520,0,"Indie,RPG,Simulation,Early Access"
Prison Run and Gun,35000,0.49,0,411,37,415,322,"Action,Indie"
CONSCRIPT,150000,19.99,0,480,24,394,0,"Action,Adventure,Indie"
Ad Infinitum,10000,34.99,0,186,45,144,0,"Action,Adventure"
Childhood grocery 辣条杂货店 学校小卖部 :令人感动的童年回忆，经典策略模拟经营解密,35000,5.99,0,167,143,112,183,"Indie,RPG,Simulation,Strategy"
Dash Dash World,10000,24.99,0,121,30,131,0,"Action,Casual,Racing,Simulation,Sports"
Resident Evil 3,1500000,15.99,0,45330,12669,37377,465,Action
Gamble Fight Plus,10000,9.99,0,74,61,123,0,"Action,Indie"
Car Mechanic Simulator 2021,350000,24.99,0,13649,619,13762,1058,"Racing,Simulation"
汉匈决战/Han Xiongnu Wars,750000,6.99,0,2192,1558,1940,1342,"Action,Adventure,Casual,Indie,RPG,Strategy"
Return to Castle Wolfenstein,750000,4.99,0,6043,452,5534,63,Action
Xuan-Yuan Sword VII,350000,34.99,0,5635,3319,7931,6280,"Action,Adventure,RPG"
Sweet House,35000,1.99,0,293,79,316,88,"Casual,Indie"
球球少女/Pinball Girls,35000,2.99,0,718,152,822,109,Casual
M.A.S.S. Builder,150000,24.99,0,2718,303,2777,1030,"Action,Indie,RPG,Strategy,Early Access"
Call of Duty®: Infinite Warfare,750000,59.99,0,12328,10908,11429,594,"Action,Adventure"
Zanki Zero: Last Beginning,35000,59.99,0,430,117,510,485,RPG
WORLD END ECONOMiCA episode.01,75000,12.99,0,564,101,428,232,Indie
